Date,Exercise,Read,Write,Night time routine,Cognitive,Creatine,Parsed,Period
January 1,,False,False,False,False,True,2025-01-01,2025-01
January 2,Run,False,False,True,True,True,2025-01-02,2025-01
January 3,Run,False,False,True,False,True,2025-01-03,2025-01
January 4,,False,False,False,False,False,2025-01-04,2025-01
January 5,,False,False,True,False,True,2025-01-05,2025-01
January 6,Run,True,False,True,True,True,2025-01-06,2025-01
January 7,Run,True,False,True,True,True,2025-01-07,2025-01
January 8,Run,True,False,True,True,True,2025-01-08,2025-01
January 9,Run,False,False,True,True,True,2025-01-09,2025-01
January 10,Run,False,False,True,False,True,2025-01-10,2025-01
January 11,,False,False,False,False,False,2025-01-11,2025-01
January 12,Run,True,False,True,True,True,2025-01-12,2025-01
January 13,Run,True,False,True,True,True,2025-01-13,2025-01
January 14,Run,True,False,True,True,True,2025-01-14,2025-01
January 15,,False,False,False,True,True,2025-01-15,2025-01
January 16,Run,False,True,True,True,True,2025-01-16,2025-01
January 17,Run,False,False,False,True,True,2025-01-17,2025-01
January 18,Run,False,False,True,True,True,2025-01-18,2025-01
January 19,,True,False,True,False,True,2025-01-19,2025-01
January 20,Run,True,False,False,True,True,2025-01-20,2025-01
January 21,Run,False,False,True,True,True,2025-01-21,2025-01
January 22,Run,False,False,False,True,True,2025-01-22,2025-01
January 23,Run,True,False,True,True,True,2025-01-23,2025-01
January 24,Run,False,False,True,False,True,2025-01-24,2025-01
January 25,Run,False,False,False,True,True,2025-01-25,2025-01
January 26,,True,False,True,False,True,2025-01-26,2025-01
January 27,Run,False,False,True,True,True,2025-01-27,2025-01
January 28,Run,False,False,True,True,True,2025-01-28,2025-01
January 29,Run,False,False,True,True,True,2025-01-29,2025-01
January 30,Run,False,False,True,True,True,2025-01-30,2025-01
January 31,,False,False,True,True,True,2025-01-31,2025-01
February 1,,False,False,False,False,False,2025-02-01,2025-02
February 2,,False,False,True,False,True,2025-02-02,2025-02
February 3,Run,True,False,True,True,True,2025-02-03,2025-02
February 4,Run,False,False,True,True,True,2025-02-04,2025-02
February 5,Run,False,False,True,False,True,2025-02-05,2025-02
February 6,Run,False,False,True,True,True,2025-02-06,2025-02
February 7,,False,False,True,True,True,2025-02-07,2025-02
February 8,Run,False,False,False,False,False,2025-02-08,2025-02
February 9,,False,False,True,False,True,2025-02-09,2025-02
February 10,Run,False,False,True,True,True,2025-02-10,2025-02
February 11,Run,False,False,False,True,True,2025-02-11,2025-02
February 12,Run,False,False,True,False,True,2025-02-12,2025-02
February 13,Run,False,False,True,True,True,2025-02-13,2025-02
February 14,Run,False,False,True,True,True,2025-02-14,2025-02
February 15,,False,False,False,False,True,2025-02-15,2025-02
February 16,Run,False,False,True,False,False,2025-02-16,2025-02
February 17,Run,False,False,True,True,True,2025-02-17,2025-02
February 18,,True,False,True,True,True,2025-02-18,2025-02
February 19,Run,False,False,True,True,True,2025-02-19,2025-02
February 20,Run,False,False,False,True,True,2025-02-20,2025-02
February 21,,False,False,False,False,True,2025-02-21,2025-02
February 22,Run,False,False,False,False,False,2025-02-22,2025-02
February 23,,False,False,False,False,True,2025-02-23,2025-02
February 24,Run,False,False,True,False,True,2025-02-24,2025-02
February 25,,True,False,True,False,True,2025-02-25,2025-02
February 26,Run,True,False,True,False,True,2025-02-26,2025-02
February 27,,True,False,False,False,False,2025-02-27,2025-02
February 28,Run,True,False,False,False,True,2025-02-28,2025-02
March 1,Run,True,False,True,False,True,2025-03-01,2025-03
March 2,Run,False,False,True,False,False,2025-03-02,2025-03
March 3,,False,False,False,False,False,2025-03-03,2025-03
