Date,Weight,Year,,,,
February 27,140.2,2023,,,,
March 6,140.8,,,,,
March 13,140.8,,,,,
March 20,142.6,,,,,
March 27,143.6,,,,,
April 3,145.8,,,,,
April 10,146.6,,,,,
April 17,144.8,,,,,
April 24,146.6,,,,,
May 1,147.6,,,,,
May 10,145.6,,,,,
May 15,145.2,,,,,
May 22,144.6,,,,,
May 29,145,,,,,
June 5,145,,,,,
June 12,144.2,,,,,
June 19,146.4,,,,,
June 26,147.4,,,,,
July 4,147.2,,,,,
July 10,147,,,,,
July 17,147.8,,,,,
July 25,147.4,,,,,
July 31,148.8,,,,,
August 8,149.4,,,,,
August 14,149.4,,,,,
August 21,150,,,,,
August 28,150.6,,,,,
September 5,151,,,,,
September 11,150.2,,,,,
September 18,151.6,,,,,
September 25,153,,,,,
October 2,152.6,,,,,
October 9,154,,,,,
October 16,153.6,,,,,
October 23,153,,,,,
October 30,153.2,,,,,
November 6,152.6,,,,,
November 20,151.8,,,,,
November 27,151.2,,,,,
December 4,150.8,,,,,
December 11,151.4,,,,,
December 18,151,,,,,
January 2,150.4,2024,,,,
January 8,148.4,,,,,
January 15,150.8,,,,,
January 29,151.4,,,,,
February 5,151.8,,,,,
February 12,153.4,,,,,
February 26,152.2,,,,,
March 4,151.4,,,,,
March 11,155.8,,,,,
March 18,154.2,,,,,
March 25,155.8,,,,,
April 1,156.4,,,,,
April 8,156.2,,,,,
April 15,157.4,,,,,
April 22,156,,,,,
April 29,155.4,,,,,
May 6,154.2,,,,,
May 13,153.6,,,,,
May 21,153.8,,,,,
May 27,155.2,,,,,
June 3,156.6,,,,,
June 10,154.4,,,,,
June 17,156.4,,,,,
June 24,158.6,,,,,
July 2,157.6,,,,,
July 8,158,,,,,
July 15,159.2,,,,,
July 22,158.8,,,,,
July 30,158.4,,,,,
August 6,159.6,,,,,
August 12,161.2,,,,,
August 19,162.2,,,,,
August 26,162.8,,,,,
September 16,163.6,,,,,
September 23,164.2,,,,,
September 30,162.4,,,,,
October 8,161.4,,,,,
October 15,160.8,,,,,
October 15,160.6,,,,,
October 28,163,,,,,
November 4,163.8,,,,,
November 11,160.8,,,,,
November 18,162.8,,,,,
November 27,161.4,,,,,
December 2,161.8,,,,,
December 9,162.2,,,,,
December 16,161.8,,,,,
December 16,163.8,,,,,
December 16,164,,,,,
January 6,161.8,2025,,,,
January 13,160.8,,,,,
January 20,161.6,,,,,
January 27,161.8,,,,,
February 3,160.8,,,,,
February 10,161.2,,,,,
February 18,161,,,,,
February 24,161,,,,,
March 4,158.4,,,,,
March 4,155.8,,,,,
March 17,157,,,,,
March 24,157.6,,,,,
March 31,157.8,,,,,
April 28,151.6,,,,,
May 5,155,,,,,
May 12,155,,,,,
May 20,155.8,,,,,
